easting,northing,abundance
579100.4,151800.4,0
581699.8,150900.1,0
583602.3,147106,0
580303.3,151997.1,0
573301.2,143804.4,0
567801.5,142493.6,0
571096.7,120205,0
571496.8,135100.8,0
565500,137700,0
581099.6,141795.4,0
564800.2,137699.9,0
579901.4,150996.2,0
578502.8,140998.5,0
577901.1,139199.6,0
578598.4,151003,0
577512.9,143798.5,0
580306,152595.3,0
574300,119800,0
580100,130200,0
574582.1,121850,0
578403.1,139196.5,0
576598.5,141304.5,0
577593.8,129095.2,0
577300.1,140801.2,0
564295.7,144405.6,0
572092.5,148403.3,0
573900.5,119998.2,0
578400.7,150498.4,0
566805.8,138599.4,0
572898.6,141798.5,0
576200,143697.9,0
570604.5,132301.6,0
568399.6,144601.2,0
575300,124700,0
562699.6,134995.7,0
576304.5,132905.7,0
580903.4,141096.7,0
575005.8,122110.3,0
578892.5,140400.4,0
576598,138495.7,0
576899.1,140897,0
572597.3,133004.7,0
569696.8,138099.7,0
584593.8,151895.1,0
569100,136100,0
581500.1,146293.7,0
574599.1,147402.6,0
569004.4,138896.9,0
582698.6,152999.7,0
576899.2,135300.6,0
571491.2,136704.4,0
572499.3,142499.1,0
578009.1,135297,0
569596.2,118697.6,0
564005.6,135995.5,0
581299,141190.4,0
576073.9,122944.4,0
576144.9,122862.2,0
575963.5,123411.2,0
578000.8,124697.2,0
577097.3,132101.7,0
575424.2,148146.1,0
564902.3,135892.4,0
575305,138001.9,0
578097.3,126797.3,0
568400,141500,0
571511.9,138702,0
567495.4,138403.1,0
577503.1,127204.8,0
575796,129984.7,0
580201.8,150796.7,0
573105.7,118601.3,0
573103.4,118598.5,0
582198.2,152691.8,0
573199.9,119600.8,0
576399.9,128498.4,0
575600.6,138700.5,0
580477.5,143595.9,0
564300.4,147498,0
582302.9,146696.1,0
577001.9,144894.8,0
580599.6,151189.7,0
565503.8,139301.8,0
575301.1,128999.3,0
565400.3,144400.3,0
575299.8,121901.7,0
580401.9,139199.1,0
575603.4,122200.8,0
564497.7,145390,0
575801.8,122501.7,0
574998.5,121895.7,0
574493.8,120197.7,0
575499.6,140299.8,0
575701.7,139799.2,0
577104.4,139798.9,0
572002.5,137399,0
576400.9,139495.3,0
575699.4,127700.4,0
573599,118503.8,0
564594,147102.9,0
566801,141197.9,0
566274.6,141005.1,0
571502.8,137302.4,0
564297.7,142001.5,0
564401.8,142100,0
583702.1,145787.8,0
563095.1,148098.7,0
564498.7,147097.7,0
577197.6,133097,0
575696,122696,0
573712.5,120867.6,0
577500,126700,0
577204.8,149998.7,0
570709.9,122288.1,0
572004.8,148103.8,0
580596.6,133307,0
572196.4,137698.4,0
581100.4,154798.8,0
581097,154305.9,0
571498.3,135601.9,0
574702.8,143702,0
581199.1,154799.7,0
568200.2,139899.8,0
568000.3,127999.3,0
571399.4,141299.9,0
567598.2,141003.6,0
576501.3,144798.9,0
565990.8,142202.1,0
577904.8,141703.9,0
569696.8,142495.1,0
576498,125302,0
577095,125563,0
577002,125737.1,0
576486,125157,0
569848,128505,0
567446,138626.5,0
573769.5,138667.8,0
566360.4,138988.8,0
574024.6,140198.9,0
581075.5,153701.3,0
583099,147049,0
562151.1,148075.6,0
570469.3,140698.1,0
581123.8,146675.1,0
572858.6,140980,0
566924.1,139722.5,0
576273.4,144700.4,0
569700.8,144348.4,0
564749.3,136624.1,0
573001.4,137035,0
572297.5,126446.6,0
572950,134925,0
570286.3,136049.6,0
562625.6,146899.8,0
570071.3,142094.2,0
573572.4,136995.4,0
578303.6,148842.6,0
566303.8,138452.4,0
568688,129132,0
570875,121803,0
572540.2,144902.1,0
572073,144176,0
563219,146338,0
563896.2,147901,0
574641,148142.9,0
569802.4,136268.6,0
583275,149575,0
565190.7,134912.8,0
578799.6,151400.5,0
576027.9,148852.9,15
570195,140281,0
565411,134801,0
574339,120265,0
581476.3,153775.8,0
570945.2,139458.6,0
572430.5,131193.9,0
579300,143526,0
569751,137849.8,0
573425.2,142275.1,0
584276,152723,0
565004,143462,0
583994,152783,0
573600,124274.2,0
583540,146251,0
566926.9,138078.1,0
579525,140325,0
570972,121569,0
572492.6,137664,0
576317,139872.7,0
581297,134228,0
571125,136374.6,0
583649.2,151723.5,0
575697,135312,0
570375.4,121675.1,0
575927.9,128449.8,0
576497,123186,0
581156.7,152529.2,0
583550,151349,0
564950,143883,0
573652.6,132433.2,0
577761.1,138756.1,0
563673,134679,0
579861,153041,0
578979.2,144077.2,0
584775.4,154399.4,0
581077.6,151499,0
579424.7,152150.3,0
571150.1,129625,0
574725,121175.5,0
571275.3,120623,0
578764,151606,0
571291.3,119649.5,0
573894,118674,0
583335.4,145409.1,0
577446.5,124252,0
573075.3,130849,0
576974.5,123426.3,0
582874,153225,0
576600.7,123898.4,0
584078.3,155077.5,0
575725,123575.3,0
580949.8,137675.4,0
579360,138513,0
577700.1,127074,0
581351,151024.7,0
579224,140473,0
580477,132142,0
572299.1,120848.7,0
